Picture Number:   20	 QP:   19  [ PSNR-Y: 44.42 dB,	PSNR-U: 49.43 dB,	PSNR-V: 50.31 dB,	MSE-Y: 2.35,	MSE-U: 0.74,	MSE-V: 0.61,	SSIM-Y: 0.99321,	SSIM-U: 0.99426,	SSIM-V: 0.99454 ]	      5 bytes
Picture Number:   21	 QP:   22  [ PSNR-Y: 44.25 dB,	PSNR-U: 49.29 dB,	PSNR-V: 49.98 dB,	MSE-Y: 2.44,	MSE-U: 0.77,	MSE-V: 0.65,	SSIM-Y: 0.99303,	SSIM-U: 0.99421,	SSIM-V: 0.99427 ]	    119 bytes
Picture Number:   22	 QP:   21  [ PSNR-Y: 44.32 dB,	PSNR-U: 48.91 dB,	PSNR-V: 50.04 dB,	MSE-Y: 2.40,	MSE-U: 0.84,	MSE-V: 0.64,	SSIM-Y: 0.99308,	SSIM-U: 0.99390,	SSIM-V: 0.99438 ]	      5 bytes
Picture Number:   23	 QP:   22  [ PSNR-Y: 44.01 dB,	PSNR-U: 48.94 dB,	PSNR-V: 49.97 dB,	MSE-Y: 2.58,	MSE-U: 0.83,	MSE-V: 0.65,	SSIM-Y: 0.99287,	SSIM-U: 0.99399,	SSIM-V: 0.99425 ]	     25 bytes
Picture Number:   24	 QP:   16  [ PSNR-Y: 44.78 dB,	PSNR-U: 48.97 dB,	PSNR-V: 50.22 dB,	MSE-Y: 2.17,	MSE-U: 0.82,	MSE-V: 0.62,	SSIM-Y: 0.99320,	SSIM-U: 0.99393,	SSIM-V: 0.99455 ]	      5 bytes
Picture Number:   25	 QP:   22  [ PSNR-Y: 43.98 dB,	PSNR-U: 49.34 dB,	PSNR-V: 50.24 dB,	MSE-Y: 2.60,	MSE-U: 0.76,	MSE-V: 0.61,	SSIM-Y: 0.99276,	SSIM-U: 0.99424,	SSIM-V: 0.99443 ]	    399 bytes
Picture Number:   26	 QP:   21  [ PSNR-Y: 44.48 dB,	PSNR-U: 49.69 dB,	PSNR-V: 50.38 dB,	MSE-Y: 2.32,	MSE-U: 0.70,	MSE-V: 0.60,	SSIM-Y: 0.99314,	SSIM-U: 0.99445,	SSIM-V: 0.99458 ]	      5 bytes
Picture Number:   27	 QP:   22  [ PSNR-Y: 43.74 dB,	PSNR-U: 49.61 dB,	PSNR-V: 50.39 dB,	MSE-Y: 2.75,	MSE-U: 0.71,	MSE-V: 0.59,	SSIM-Y: 0.99285,	SSIM-U: 0.99462,	SSIM-V: 0.99457 ]	     41 bytes
Picture Number:   28	 QP:   19  [ PSNR-Y: 45.02 dB,	PSNR-U: 49.76 dB,	PSNR-V: 50.41 dB,	MSE-Y: 2.05,	MSE-U: 0.69,	MSE-V: 0.59,	SSIM-Y: 0.99373,	SSIM-U: 0.99448,	SSIM-V: 0.99462 ]	      5 bytes
Picture Number:   29	 QP:   22  [ PSNR-Y: 44.04 dB,	PSNR-U: 49.75 dB,	PSNR-V: 50.32 dB,	MSE-Y: 2.56,	MSE-U: 0.69,	MSE-V: 0.60,	SSIM-Y: 0.99356,	SSIM-U: 0.99455,	SSIM-V: 0.99458 ]	    187 bytes
Picture Number:   30	 QP:   21  [ PSNR-Y: 45.08 dB,	PSNR-U: 49.69 dB,	PSNR-V: 50.39 dB,	MSE-Y: 2.02,	MSE-U: 0.70,	MSE-V: 0.60,	SSIM-Y: 0.99417,	SSIM-U: 0.99449,	SSIM-V: 0.99468 ]	      5 bytes
Picture Number:   31	 QP:   22  [ PSNR-Y: 45.52 dB,	PSNR-U: 50.01 dB,	PSNR-V: 50.42 dB,	MSE-Y: 1.83,	MSE-U: 0.65,	MSE-V: 0.59,	SSIM-Y: 0.99451,	SSIM-U: 0.99442,	SSIM-V: 0.99455 ]	     34 bytes
Picture Number:   32	 QP:    7  [ PSNR-Y: 47.52 dB,	PSNR-U: 50.35 dB,	PSNR-V: 50.74 dB,	MSE-Y: 1.15,	MSE-U: 0.60,	MSE-V: 0.55,	SSIM-Y: 0.99522,	SSIM-U: 0.99461,	SSIM-V: 0.99481 ]	      5 bytes
Picture Number:   33	 QP:   22  [ PSNR-Y: 46.22 dB,	PSNR-U: 49.99 dB,	PSNR-V: 50.47 dB,	MSE-Y: 1.55,	MSE-U: 0.65,	MSE-V: 0.58,	SSIM-Y: 0.99475,	SSIM-U: 0.99440,	SSIM-V: 0.99451 ]	   3420 bytes
Picture Number:   34	 QP:   21  [ PSNR-Y: 45.73 dB,	PSNR-U: 49.78 dB,	PSNR-V: 50.53 dB,	MSE-Y: 1.74,	MSE-U: 0.68,	MSE-V: 0.58,	SSIM-Y: 0.99449,	SSIM-U: 0.99450,	SSIM-V: 0.99464 ]	      5 bytes
Picture Number:   35	 QP:   22  [ PSNR-Y: 44.86 dB,	PSNR-U: 49.67 dB,	PSNR-V: 50.40 dB,	MSE-Y: 2.12,	MSE-U: 0.70,	MSE-V: 0.59,	SSIM-Y: 0.99410,	SSIM-U: 0.99434,	SSIM-V: 0.99454 ]	     47 bytes
Picture Number:   36	 QP:   19  [ PSNR-Y: 45.40 dB,	PSNR-U: 49.41 dB,	PSNR-V: 50.27 dB,	MSE-Y: 1.87,	MSE-U: 0.74,	MSE-V: 0.61,	SSIM-Y: 0.99422,	SSIM-U: 0.99410,	SSIM-V: 0.99445 ]	      5 bytes
Picture Number:   37	 QP:   22  [ PSNR-Y: 44.23 dB,	PSNR-U: 49.20 dB,	PSNR-V: 50.11 dB,	MSE-Y: 2.45,	MSE-U: 0.78,	MSE-V: 0.63,	SSIM-Y: 0.99326,	SSIM-U: 0.99373,	SSIM-V: 0.99415 ]	    322 bytes
Picture Number:   38	 QP:   21  [ PSNR-Y: 44.72 dB,	PSNR-U: 49.56 dB,	PSNR-V: 50.17 dB,	MSE-Y: 2.19,	MSE-U: 0.72,	MSE-V: 0.63,	SSIM-Y: 0.99347,	SSIM-U: 0.99410,	SSIM-V: 0.99411 ]	      5 bytes
Picture Number:   39	 QP:   22  [ PSNR-Y: 44.30 dB,	PSNR-U: 49.83 dB,	PSNR-V: 50.36 dB,	MSE-Y: 2.42,	MSE-U: 0.68,	MSE-V: 0.60,	SSIM-Y: 0.99341,	SSIM-U: 0.99427,	SSIM-V: 0.99432 ]	     34 bytes
Picture Number:   40	 QP:   15  [ PSNR-Y: 46.03 dB,	PSNR-U: 49.80 dB,	PSNR-V: 50.34 dB,	MSE-Y: 1.62,	MSE-U: 0.68,	MSE-V: 0.60,	SSIM-Y: 0.99425,	SSIM-U: 0.99431,	SSIM-V: 0.99435 ]	      5 bytes
Picture Number:   41	 QP:   22  [ PSNR-Y: 45.79 dB,	PSNR-U: 49.74 dB,	PSNR-V: 50.37 dB,	MSE-Y: 1.71,	MSE-U: 0.69,	MSE-V: 0.60,	SSIM-Y: 0.99434,	SSIM-U: 0.99437,	SSIM-V: 0.99452 ]	    262 bytes
Picture Number:   42	 QP:   21  [ PSNR-Y: 45.79 dB,	PSNR-U: 49.63 dB,	PSNR-V: 50.50 dB,	MSE-Y: 1.72,	MSE-U: 0.71,	MSE-V: 0.58,	SSIM-Y: 0.99431,	SSIM-U: 0.99438,	SSIM-V: 0.99459 ]	      5 bytes
Picture Number:   43	 QP:   22  [ PSNR-Y: 45.64 dB,	PSNR-U: 49.72 dB,	PSNR-V: 50.52 dB,	MSE-Y: 1.77,	MSE-U: 0.69,	MSE-V: 0.58,	SSIM-Y: 0.99430,	SSIM-U: 0.99431,	SSIM-V: 0.99460 ]	     25 bytes
Picture Number:   44	 QP:   19  [ PSNR-Y: 45.98 dB,	PSNR-U: 49.99 dB,	PSNR-V: 50.60 dB,	MSE-Y: 1.64,	MSE-U: 0.65,	MSE-V: 0.57,	SSIM-Y: 0.99441,	SSIM-U: 0.99452,	SSIM-V: 0.99461 ]	      5 bytes
Picture Number:   45	 QP:   22  [ PSNR-Y: 45.92 dB,	PSNR-U: 50.15 dB,	PSNR-V: 50.61 dB,	MSE-Y: 1.67,	MSE-U: 0.63,	MSE-V: 0.56,	SSIM-Y: 0.99461,	SSIM-U: 0.99438,	SSIM-V: 0.99473 ]	     72 bytes
Picture Number:   46	 QP:   21  [ PSNR-Y: 46.73 dB,	PSNR-U: 50.35 dB,	PSNR-V: 50.68 dB,	MSE-Y: 1.38,	MSE-U: 0.60,	MSE-V: 0.56,	SSIM-Y: 0.99499,	SSIM-U: 0.99461,	SSIM-V: 0.99473 ]	      5 bytes
Picture Number:   47	 QP:   22  [ PSNR-Y: 47.72 dB,	PSNR-U: 50.43 dB,	PSNR-V: 50.56 dB,	MSE-Y: 1.10,	MSE-U: 0.59,	MSE-V: 0.57,	SSIM-Y: 0.99541,	SSIM-U: 0.99453,	SSIM-V: 0.99462 ]	     30 bytes
Picture Number:   48	 QP:    6  [ PSNR-Y: 48.89 dB,	PSNR-U: 50.63 dB,	PSNR-V: 50.84 dB,	MSE-Y: 0.84,	MSE-U: 0.56,	MSE-V: 0.54,	SSIM-Y: 0.99572,	SSIM-U: 0.99474,	SSIM-V: 0.99477 ]	      5 bytes
Picture Number:   49	 QP:   22  [ PSNR-Y: 47.55 dB,	PSNR-U: 50.25 dB,	PSNR-V: 50.70 dB,	MSE-Y: 1.14,	MSE-U: 0.61,	MSE-V: 0.55,	SSIM-Y: 0.99538,	SSIM-U: 0.99440,	SSIM-V: 0.99462 ]	   1763 bytes
Picture Number:   50	 QP:   21  [ PSNR-Y: 46.83 dB,	PSNR-U: 50.17 dB,	PSNR-V: 50.67 dB,	MSE-Y: 1.35,	MSE-U: 0.63,	MSE-V: 0.56,	SSIM-Y: 0.99514,	SSIM-U: 0.99444,	SSIM-V: 0.99466 ]	      5 bytes
Picture Number:   51	 QP:   22  [ PSNR-Y: 46.63 dB,	PSNR-U: 50.13 dB,	PSNR-V: 50.50 dB,	MSE-Y: 1.41,	MSE-U: 0.63,	MSE-V: 0.58,	SSIM-Y: 0.99507,	SSIM-U: 0.99443,	SSIM-V: 0.99448 ]	     27 bytes
Picture Number:   52	 QP:   19  [ PSNR-Y: 46.77 dB,	PSNR-U: 50.20 dB,	PSNR-V: 50.58 dB,	MSE-Y: 1.37,	MSE-U: 0.62,	MSE-V: 0.57,	SSIM-Y: 0.99500,	SSIM-U: 0.99440,	SSIM-V: 0.99455 ]	      5 bytes
Picture Number:   53	 QP:   22  [ PSNR-Y: 46.19 dB,	PSNR-U: 50.22 dB,	PSNR-V: 50.34 dB,	MSE-Y: 1.56,	MSE-U: 0.62,	MSE-V: 0.60,	SSIM-Y: 0.99477,	SSIM-U: 0.99433,	SSIM-V: 0.99426 ]	    157 bytes
Picture Number:   54	 QP:   21  [ PSNR-Y: 46.01 dB,	PSNR-U: 49.97 dB,	PSNR-V: 50.34 dB,	MSE-Y: 1.63,	MSE-U: 0.66,	MSE-V: 0.60,	SSIM-Y: 0.99473,	SSIM-U: 0.99415,	SSIM-V: 0.99433 ]	      5 bytes
Picture Number:   55	 QP:   22  [ PSNR-Y: 45.94 dB,	PSNR-U: 49.89 dB,	PSNR-V: 50.21 dB,	MSE-Y: 1.66,	MSE-U: 0.67,	MSE-V: 0.62,	SSIM-Y: 0.99463,	SSIM-U: 0.99410,	SSIM-V: 0.99423 ]	     26 bytes
Picture Number:   56	 QP:   15  [ PSNR-Y: 46.36 dB,	PSNR-U: 49.81 dB,	PSNR-V: 50.23 dB,	MSE-Y: 1.50,	MSE-U: 0.68,	MSE-V: 0.62,	SSIM-Y: 0.99470,	SSIM-U: 0.99397,	SSIM-V: 0.99427 ]	      5 bytes
Picture Number:   57	 QP:   22  [ PSNR-Y: 45.77 dB,	PSNR-U: 49.81 dB,	PSNR-V: 50.16 dB,	MSE-Y: 1.72,	MSE-U: 0.68,	MSE-V: 0.63,	SSIM-Y: 0.99451,	SSIM-U: 0.99406,	SSIM-V: 0.99427 ]	    304 bytes
Picture Number:   58	 QP:   21  [ PSNR-Y: 45.25 dB,	PSNR-U: 49.75 dB,	PSNR-V: 50.24 dB,	MSE-Y: 1.94,	MSE-U: 0.69,	MSE-V: 0.62,	SSIM-Y: 0.99427,	SSIM-U: 0.99400,	SSIM-V: 0.99425 ]	      5 bytes
