Picture Number:    0	 QP:    6  [ PSNR-Y: 45.82 dB,	PSNR-U: 49.22 dB,	PSNR-V: 49.95 dB,	MSE-Y: 1.70,	MSE-U: 0.78,	MSE-V: 0.66,	SSIM-Y: 0.99395,	SSIM-U: 0.99303,	SSIM-V: 0.99375 ]	   5860 bytes
Picture Number:    1	 QP:   32  [ PSNR-Y: 46.34 dB,	PSNR-U: 49.05 dB,	PSNR-V: 49.66 dB,	MSE-Y: 1.51,	MSE-U: 0.81,	MSE-V: 0.70,	SSIM-Y: 0.99412,	SSIM-U: 0.99292,	SSIM-V: 0.99341 ]	    642 bytes
Picture Number:    2	 QP:   30  [ PSNR-Y: 46.53 dB,	PSNR-U: 48.98 dB,	PSNR-V: 49.68 dB,	MSE-Y: 1.45,	MSE-U: 0.82,	MSE-V: 0.70,	SSIM-Y: 0.99416,	SSIM-U: 0.99276,	SSIM-V: 0.99340 ]	      5 bytes
Picture Number:    3	 QP:   32  [ PSNR-Y: 46.91 dB,	PSNR-U: 49.08 dB,	PSNR-V: 49.69 dB,	MSE-Y: 1.32,	MSE-U: 0.80,	MSE-V: 0.70,	SSIM-Y: 0.99426,	SSIM-U: 0.99296,	SSIM-V: 0.99342 ]	     22 bytes
Picture Number:    4	 QP:   28  [ PSNR-Y: 46.85 dB,	PSNR-U: 49.00 dB,	PSNR-V: 49.75 dB,	MSE-Y: 1.34,	MSE-U: 0.82,	MSE-V: 0.69,	SSIM-Y: 0.99421,	SSIM-U: 0.99287,	SSIM-V: 0.99350 ]	      5 bytes
Picture Number:    5	 QP:   32  [ PSNR-Y: 46.62 dB,	PSNR-U: 48.75 dB,	PSNR-V: 49.47 dB,	MSE-Y: 1.42,	MSE-U: 0.87,	MSE-V: 0.74,	SSIM-Y: 0.99400,	SSIM-U: 0.99229,	SSIM-V: 0.99301 ]	     91 bytes
Picture Number:    6	 QP:   30  [ PSNR-Y: 46.60 dB,	PSNR-U: 48.85 dB,	PSNR-V: 49.45 dB,	MSE-Y: 1.42,	MSE-U: 0.85,	MSE-V: 0.74,	SSIM-Y: 0.99405,	SSIM-U: 0.99246,	SSIM-V: 0.99289 ]	      5 bytes
Picture Number:    7	 QP:   32  [ PSNR-Y: 45.77 dB,	PSNR-U: 48.91 dB,	PSNR-V: 49.59 dB,	MSE-Y: 1.72,	MSE-U: 0.84,	MSE-V: 0.72,	SSIM-Y: 0.99382,	SSIM-U: 0.99277,	SSIM-V: 0.99320 ]	     37 bytes
Picture Number:    8	 QP:   23  [ PSNR-Y: 46.42 dB,	PSNR-U: 49.01 dB,	PSNR-V: 49.64 dB,	MSE-Y: 1.48,	MSE-U: 0.82,	MSE-V: 0.71,	SSIM-Y: 0.99405,	SSIM-U: 0.99281,	SSIM-V: 0.99333 ]	      5 bytes
Picture Number:    9	 QP:   32  [ PSNR-Y: 45.57 dB,	PSNR-U: 49.02 dB,	PSNR-V: 49.62 dB,	MSE-Y: 1.80,	MSE-U: 0.81,	MSE-V: 0.71,	SSIM-Y: 0.99364,	SSIM-U: 0.99283,	SSIM-V: 0.99335 ]	    159 bytes
Picture Number:   10	 QP:   30  [ PSNR-Y: 44.98 dB,	PSNR-U: 49.03 dB,	PSNR-V: 49.55 dB,	MSE-Y: 2.06,	MSE-U: 0.81,	MSE-V: 0.72,	SSIM-Y: 0.99336,	SSIM-U: 0.99287,	SSIM-V: 0.99324 ]	      5 bytes
