Picture Number:   20	 QP:   33  [ PSNR-Y: 40.81 dB,	PSNR-U: 47.13 dB,	PSNR-V: 47.90 dB,	MSE-Y: 5.40,	MSE-U: 1.26,	MSE-V: 1.05,	SSIM-Y: 0.98733,	SSIM-U: 0.99109,	SSIM-V: 0.99090 ]	      5 bytes
Picture Number:   21	 QP:   37  [ PSNR-Y: 40.82 dB,	PSNR-U: 47.02 dB,	PSNR-V: 47.81 dB,	MSE-Y: 5.38,	MSE-U: 1.29,	MSE-V: 1.08,	SSIM-Y: 0.98702,	SSIM-U: 0.99070,	SSIM-V: 0.99076 ]	     66 bytes
Picture Number:   22	 QP:   35  [ PSNR-Y: 40.85 dB,	PSNR-U: 46.84 dB,	PSNR-V: 47.90 dB,	MSE-Y: 5.35,	MSE-U: 1.35,	MSE-V: 1.06,	SSIM-Y: 0.98693,	SSIM-U: 0.99056,	SSIM-V: 0.99091 ]	      5 bytes
Picture Number:   23	 QP:   37  [ PSNR-Y: 40.74 dB,	PSNR-U: 46.80 dB,	PSNR-V: 47.82 dB,	MSE-Y: 5.48,	MSE-U: 1.36,	MSE-V: 1.07,	SSIM-Y: 0.98673,	SSIM-U: 0.99055,	SSIM-V: 0.99064 ]	     23 bytes
Picture Number:   24	 QP:   28  [ PSNR-Y: 41.16 dB,	PSNR-U: 46.68 dB,	PSNR-V: 48.04 dB,	MSE-Y: 4.98,	MSE-U: 1.40,	MSE-V: 1.02,	SSIM-Y: 0.98714,	SSIM-U: 0.99042,	SSIM-V: 0.99109 ]	      5 bytes
Picture Number:   25	 QP:   37  [ PSNR-Y: 40.97 dB,	PSNR-U: 46.83 dB,	PSNR-V: 48.06 dB,	MSE-Y: 5.20,	MSE-U: 1.35,	MSE-V: 1.02,	SSIM-Y: 0.98705,	SSIM-U: 0.99063,	SSIM-V: 0.99104 ]	    145 bytes
Picture Number:   26	 QP:   35  [ PSNR-Y: 40.81 dB,	PSNR-U: 46.96 dB,	PSNR-V: 48.08 dB,	MSE-Y: 5.40,	MSE-U: 1.31,	MSE-V: 1.01,	SSIM-Y: 0.98658,	SSIM-U: 0.99074,	SSIM-V: 0.99107 ]	      5 bytes
Picture Number:   27	 QP:   37  [ PSNR-Y: 40.53 dB,	PSNR-U: 46.90 dB,	PSNR-V: 48.17 dB,	MSE-Y: 5.76,	MSE-U: 1.33,	MSE-V: 0.99,	SSIM-Y: 0.98658,	SSIM-U: 0.99077,	SSIM-V: 0.99136 ]	     28 bytes
Picture Number:   28	 QP:   33  [ PSNR-Y: 41.13 dB,	PSNR-U: 46.91 dB,	PSNR-V: 48.08 dB,	MSE-Y: 5.01,	MSE-U: 1.32,	MSE-V: 1.01,	SSIM-Y: 0.98769,	SSIM-U: 0.99090,	SSIM-V: 0.99105 ]	      5 bytes
Picture Number:   29	 QP:   37  [ PSNR-Y: 40.82 dB,	PSNR-U: 46.82 dB,	PSNR-V: 47.88 dB,	MSE-Y: 5.39,	MSE-U: 1.35,	MSE-V: 1.06,	SSIM-Y: 0.98773,	SSIM-U: 0.99073,	SSIM-V: 0.99081 ]	     85 bytes
